original_filename,patch_id,patch_filename,label
1.png,1,1_1.png,0
1.png,2,1_2.png,0
1.png,3,1_3.png,0
1.png,4,1_4.png,0
1.png,5,1_5.png,0
1.png,6,1_6.png,1
1.png,7,1_7.png,1
1.png,8,1_8.png,0
1.png,9,1_9.png,0
1.png,10,1_10.png,0
1.png,11,1_11.png,0
1.png,12,1_12.png,0
1.png,13,1_13.png,0
1.png,14,1_14.png,0
1.png,15,1_15.png,0
1.png,16,1_16.png,0
2.png,1,2_1.png,0
2.png,2,2_2.png,0
2.png,3,2_3.png,0
2.png,4,2_4.png,0
2.png,5,2_5.png,0
2.png,6,2_6.png,1
2.png,7,2_7.png,1
2.png,8,2_8.png,0
2.png,9,2_9.png,0
2.png,10,2_10.png,0
2.png,11,2_11.png,0
2.png,12,2_12.png,0
2.png,13,2_13.png,0
2.png,14,2_14.png,0
2.png,15,2_15.png,0
2.png,16,2_16.png,0
3.png,1,3_1.png,0
3.png,2,3_2.png,0
3.png,3,3_3.png,0
3.png,4,3_4.png,0
3.png,5,3_5.png,0
3.png,6,3_6.png,1
3.png,7,3_7.png,1
3.png,8,3_8.png,0
3.png,9,3_9.png,0
3.png,10,3_10.png,0
3.png,11,3_11.png,0
3.png,12,3_12.png,0
3.png,13,3_13.png,0
3.png,14,3_14.png,0
3.png,15,3_15.png,0
3.png,16,3_16.png,0
4.png,1,4_1.png,0
4.png,2,4_2.png,0
4.png,3,4_3.png,1
4.png,4,4_4.png,0
4.png,5,4_5.png,0
4.png,6,4_6.png,1
4.png,7,4_7.png,1
4.png,8,4_8.png,0
4.png,9,4_9.png,0
4.png,10,4_10.png,0
4.png,11,4_11.png,0
4.png,12,4_12.png,0
4.png,13,4_13.png,0
4.png,14,4_14.png,0
4.png,15,4_15.png,0
4.png,16,4_16.png,0
5.png,1,5_1.png,0
5.png,2,5_2.png,0
5.png,3,5_3.png,1
5.png,4,5_4.png,0
5.png,5,5_5.png,0
5.png,6,5_6.png,1
5.png,7,5_7.png,1
5.png,8,5_8.png,0
5.png,9,5_9.png,0
5.png,10,5_10.png,0
5.png,11,5_11.png,0
5.png,12,5_12.png,0
5.png,13,5_13.png,0
5.png,14,5_14.png,0
5.png,15,5_15.png,0
5.png,16,5_16.png,0
6.png,1,6_1.png,0
6.png,2,6_2.png,0
6.png,3,6_3.png,1
6.png,4,6_4.png,0
6.png,5,6_5.png,0
6.png,6,6_6.png,1
6.png,7,6_7.png,1
6.png,8,6_8.png,0
6.png,9,6_9.png,0
6.png,10,6_10.png,0
6.png,11,6_11.png,0
6.png,12,6_12.png,0
6.png,13,6_13.png,0
6.png,14,6_14.png,0
6.png,15,6_15.png,0
6.png,16,6_16.png,0
7.png,1,7_1.png,0
7.png,2,7_2.png,0
7.png,3,7_3.png,1
7.png,4,7_4.png,0
7.png,5,7_5.png,0
7.png,6,7_6.png,1
7.png,7,7_7.png,1
7.png,8,7_8.png,0
7.png,9,7_9.png,0
7.png,10,7_10.png,1
7.png,11,7_11.png,0
7.png,12,7_12.png,0
7.png,13,7_13.png,0
7.png,14,7_14.png,0
7.png,15,7_15.png,0
7.png,16,7_16.png,0
8.png,1,8_1.png,0
8.png,2,8_2.png,0
8.png,3,8_3.png,1
8.png,4,8_4.png,0
8.png,5,8_5.png,0
8.png,6,8_6.png,1
8.png,7,8_7.png,1
8.png,8,8_8.png,0
8.png,9,8_9.png,0
8.png,10,8_10.png,1
8.png,11,8_11.png,1
8.png,12,8_12.png,0
8.png,13,8_13.png,0
8.png,14,8_14.png,0
8.png,15,8_15.png,0
8.png,16,8_16.png,0
9.png,1,9_1.png,0
9.png,2,9_2.png,1
9.png,3,9_3.png,1
9.png,4,9_4.png,0
9.png,5,9_5.png,0
9.png,6,9_6.png,1
9.png,7,9_7.png,1
9.png,8,9_8.png,0
9.png,9,9_9.png,0
9.png,10,9_10.png,1
9.png,11,9_11.png,0
9.png,12,9_12.png,0
9.png,13,9_13.png,0
9.png,14,9_14.png,0
9.png,15,9_15.png,0
9.png,16,9_16.png,0
10.png,1,10_1.png,0
10.png,2,10_2.png,1
10.png,3,10_3.png,1
10.png,4,10_4.png,0
10.png,5,10_5.png,0
10.png,6,10_6.png,1
10.png,7,10_7.png,1
10.png,8,10_8.png,0
10.png,9,10_9.png,0
10.png,10,10_10.png,1
10.png,11,10_11.png,0
10.png,12,10_12.png,0
10.png,13,10_13.png,0
10.png,14,10_14.png,0
10.png,15,10_15.png,0
10.png,16,10_16.png,0
11.png,1,11_1.png,0
11.png,2,11_2.png,1
11.png,3,11_3.png,1
11.png,4,11_4.png,0
11.png,5,11_5.png,0
11.png,6,11_6.png,1
11.png,7,11_7.png,1
11.png,8,11_8.png,0
11.png,9,11_9.png,0
11.png,10,11_10.png,1
11.png,11,11_11.png,0
11.png,12,11_12.png,0
11.png,13,11_13.png,0
11.png,14,11_14.png,0
11.png,15,11_15.png,0
11.png,16,11_16.png,0
12.png,1,12_1.png,0
12.png,2,12_2.png,1
12.png,3,12_3.png,1
12.png,4,12_4.png,0
12.png,5,12_5.png,0
12.png,6,12_6.png,1
12.png,7,12_7.png,1
12.png,8,12_8.png,0
12.png,9,12_9.png,0
12.png,10,12_10.png,1
12.png,11,12_11.png,0
12.png,12,12_12.png,0
12.png,13,12_13.png,0
12.png,14,12_14.png,0
12.png,15,12_15.png,0
12.png,16,12_16.png,0
